,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Code
93,40,0.652,0.515,11,-12.034,0,0.0324,0.239,0.751,0.0991,0.203,134.969,244000,1,1
94,43,0.664,0.535,7,-7.348,1,0.05,0.465,1.57e-06,0.27,0.361,85.154,163509,4,1
95,36,0.435,0.51,0,-6.074,1,0.0363,0.164,2.12e-05,0.183,0.409,85.635,201235,4,1
96,28,0.677,0.772,3,-7.438,1,0.424,0.303,2.15e-05,0.299,0.721,148.163,106048,4,1
97,34,0.552,0.898,0,-5.593,1,0.0773,0.0736,0.000156,0.407,0.457,177.685,119453,4,1
98,63,0.566,0.663,8,-9.068,1,0.0278,0.0945,0.294,0.0915,0.762,91.108,298760,4,1
99,41,0.875,0.63,2,-10.452,0,0.2,0.761,0.000136,0.0715,0.819,109.977,213818,4,1
100,40,0.513,0.956,5,-5.407,0,0.159,0.00381,0.0,0.391,0.458,150.181,195147,4,1
101,54,0.567,0.666,0,-9.647,1,0.0298,0.0244,0.251,0.107,0.251,106.001,305489,4,1
102,57,0.724,0.61,7,-10.025,1,0.0358,0.413,0.0651,0.243,0.591,123.985,400867,4,1
103,60,0.766,0.806,8,-10.011,1,0.0403,0.124,0.171,0.119,0.76,123.509,165227,4,1
104,63,0.286,0.907,7,-9.67,1,0.0374,0.000277,0.202,0.0837,0.746,156.395,417800,4,1
105,47,0.825,0.569,5,-8.334,0,0.0483,0.0617,0.776,0.094,0.502,123.013,246183,4,1
106,69,0.55,0.765,7,-8.684,1,0.0287,4.76e-06,0.873,0.132,0.419,139.46,252533,4,1
107,32,0.275,0.933,2,-5.14,0,0.0879,6.86e-05,0.0457,0.206,0.164,100.47,169284,4,1
108,34,0.709,0.239,0,-21.361,1,0.0427,0.946,0.923,0.0826,0.364,110.0,231285,4,1
109,34,0.634,0.614,11,-11.002,0,0.0381,0.404,0.00864,0.12,0.421,146.108,208707,4,1
110,43,0.195,0.0832,9,-24.21,1,0.0405,0.673,0.875,0.0959,0.0329,119.945,195720,4,1
111,36,0.542,0.872,9,-2.553,1,0.0402,0.0495,9.81e-05,0.0823,0.311,137.976,237086,4,1
112,46,0.774,0.714,0,-5.009,0,0.0427,0.00388,0.000466,0.045,0.811,111.964,268053,4,1
113,41,0.359,0.802,5,-2.945,1,0.0528,0.00687,1.54e-05,0.398,0.433,152.481,212200,4,1
114,71,0.599,0.742,11,-6.886,1,0.0419,0.0488,0.32,0.0916,0.493,131.014,184524,4,1
115,75,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,266200,4,1
